5105321,PL,Łódź,503946N,175540E,5101553,PL,"JAWORZYNA SLASKA",505444N,162542E,0
5105440,PL,"Jaworzyna Ślšska",505444N,162544E,5101553,PL,"JAWORZYNA SLASKA",505444N,162542E,1
5105440,PL,"Jaworzyna Ślšska",505444N,162544E,5118887,PL,WALBRZYCH,504857N,161808E,0
5105454,PL,"Wałbrzych Szczawien.",504856N,161809E,5118887,PL,WALBRZYCH,504857N,161808E,1
5105454,PL,"Wałbrzych Szczawien.",504856N,161809E,5118877,PL,SWIDNICA,505028N,162854E,0
5105481,PL,"Świdnica Miasto",505025N,162853E,5118877,PL,SWIDNICA,505028N,162854E,1
5105481,PL,"Świdnica Miasto",505025N,162853E,5118805,PL,DZIERZONIOW,504328N,163826E,0
5105490,PL,"Dzierżoniów Śl.",504328N,163824E,5118805,PL,DZIERZONIOW,504328N,163826E,1
5105490,PL,"Dzierżoniów Śl.",504328N,163824E,5100158,PL,"JELENIA GORA",505408N,154520E,0
5105580,PL,"Jelenia Góra",505409N,154519E,5100158,PL,"JELENIA GORA",505408N,154520E,1
5105580,PL,"Jelenia Góra",505409N,154519E,5118876,PL,"SZKLARSKA POREBA",505051N,153321E,0
5105616,PL,"Szklarska Poreba Dol",505053N,153325E,5118876,PL,"SZKLARSKA POREBA",505051N,153321E,1
5105616,PL,"Szklarska Poreba Dol",505053N,153325E,5100166,PL,"KAMIENIEC ZABKOWICKI",503210N,165401E,0
5105640,PL,"Kamieniec Zšbkowicki",503210N,165401E,5100166,PL,"KAMIENIEC ZABKOWICKI",503210N,165401E,1
5105640,PL,"Kamieniec Zšbkowicki",503210N,165401E,5118832,PL,KLODZKO,502702N,163924E,0
5105730,PL,"Kłodzko Gł.",502703N,163924E,5118832,PL,KLODZKO,502702N,163924E,1
5105730,PL,"Kłodzko Gł.",502703N,163924E,5118858,PL,"POLANICA ZDROJ",502351N,163052E,0
5105749,PL,"Polanica Zdrój",502348N,163039E,5118858,PL,"POLANICA ZDROJ",502351N,163052E,1
5105749,PL,"Polanica Zdrój",502348N,163039E,5106424,PL,"DUSZNIKI ZDROJ",502431N,162309E,0
5105752,PL,"Duszniki Zdrój",502429N,162308E,5106424,PL,"DUSZNIKI ZDROJ",502431N,162309E,1
5105752,PL,"Duszniki Zdrój",502429N,162308E,5106973,PL,"KUDOWA ZDROJ",502546N,161440E,0
5105755,PL,"Kudowa Zdrój",502538N,161447E,5106973,PL,"KUDOWA ZDROJ",502546N,161440E,1
5105755,PL,"Kudowa Zdrój",502538N,161447E,5118831,PL,"KLUCZBORK E",505816N,181202E,0
5106120,PL,Kluczbork,505815N,181203E,5118831,PL,"KLUCZBORK E",505816N,181202E,1
5106120,PL,Kluczbork,505815N,181203E,5118903,PL,"ZAMOSC E",504249N,231419E,0
5106590,PL,Zamość,504248N,231421E,5118903,PL,"ZAMOSC E",504249N,231419E,1
5106590,PL,Zamość,504248N,231421E,5118901,PL,"ZABRZE O",501819N,184713E,0
5106982,PL,Zabrze,501818N,184713E,5118901,PL,"ZABRZE O",501819N,184713E,1
5106982,PL,Zabrze,501818N,184713E,5130924,PL,"DABROWA GORNICZA",501948N,191107E,0
5107458,PL,"Dšbrowa Górnicza",501948N,191107E,5130924,PL,"DABROWA GORNICZA",501948N,191107E,1
5107458,PL,"Dšbrowa Górnicza",501948N,191107E,5118872,PL,SOSNOWIEC,501642N,190735E,0
5107465,PL,"Sosnowiec Gł.",501644N,190735E,5118872,PL,SOSNOWIEC,501642N,190735E,1
5107465,PL,"Sosnowiec Gł.",501644N,190735E,5118821,PL,JASLO,494416N,212814E,0
5108341,PL,Jasło,494419N,212821E,5118821,PL,JASLO,494416N,212814E,1
5108341,PL,Jasło,494419N,212821E,5118868,PL,"SANOK O",493311N,221239E,0
5108360,PL,Sanok,493311N,221238E,5118868,PL,"SANOK O",493311N,221239E,1
5108360,PL,Sanok,493311N,221238E,5107465,PL,"SOSNOWIEC GL",501621N,190653E,0
51G0006,PL,"Sosnowiec Gl.",501621N,190653E,5107465,PL,"SOSNOWIEC GL",501621N,190653E,1
51G0006,PL,"Sosnowiec Gl.",501621N,190653E,5106010,PL,"WROCLAW GL",510556N,170212E,0
51G0009,PL,"Wrocław Gł.",510556N,170212E,5106010,PL,"WROCLAW GL",510556N,170212E,1
51G0009,PL,"Wrocław Gł.",510556N,170212E,5256060,BG,KULATA,412307N,232126E,0
