uic_1,country_1,name_1,lon_1,lat_1,uic_2,country_2,name_2,lon_2,lat_2,match
11G0159,DE,"Aitern Rössle",474809N,075345E,0000128,FR,Aix-en-Provence,051902N,432718E,0
8775140,FR,Aix-en-Provence,433121N,052642E,0000128,FR,Aix-en-Provence,051902N,432718E,1
8775140,FR,Aix-en-Provence,433121N,052642E,8307207,IT,Albacina,432044N,125910E,0
83G0619,IT,Albacina,432044N,125910E,8307207,IT,Albacina,432044N,125910E,1
83G0619,IT,Albacina,432044N,125910E,1101350,DE,"Albbruck Papierfabrik",473532N,080754E,0
11G0643,DE,"Albbruck Papierfabrik",473532N,080754E,1101350,DE,"Albbruck Papierfabrik",473532N,080754E,1
11G0643,DE,"Albbruck Papierfabrik",473532N,080754E,8029180,DE,"Albstadt-Laufen Ort",481322N,085502E,0
8029664,DE,"Albstadt-Laufen Ort",481322N,085502E,8029180,DE,"Albstadt-Laufen Ort",481322N,085502E,1
8029664,DE,"Albstadt-Laufen Ort",481322N,085502E,8000495,DE,Alfter-Impekoven,504239N,070111E,0
8013803,DE,Alfter-Impekoven,504239N,070111E,8000495,DE,Alfter-Impekoven,504239N,070111E,1
8013803,DE,Alfter-Impekoven,504239N,070111E,8079934,DE,"Alken (Schiff)",501458N,072646E,0
80G2542,DE,"Alken (Schiff)",501458N,072646E,8079934,DE,"Alken (Schiff)",501458N,072646E,1
80G2542,DE,"Alken (Schiff)",501458N,072646E,8006044,DE,"Altenberg (Erzgeb)",504558N,134513E,0
80G2266,DE,"Altenberg (Erzgeb)",504558N,134513E,8006044,DE,"Altenberg (Erzgeb)",504558N,134513E,1
80G2266,DE,"Altenberg (Erzgeb)",504558N,134513E,1322000,IT,Altoggio,461002N,082044E,0
8322000,IT,Altoggio,461002N,082044E,1322000,IT,Altoggio,461002N,082044E,1
8322000,IT,Altoggio,461002N,082044E,8040431,DE,Alveslohe(Holst),534729N,095458E,0
80G2406,DE,Alveslohe(Holst),534729N,095458E,8040431,DE,Alveslohe(Holst),534729N,095458E,1
80G2406,DE,Alveslohe(Holst),534729N,095458E,8061438,DE,"Alzenau Nord",500521N,090304E,0
8000529,DE,"Alzenau Nord",500522N,090306E,8061438,DE,"Alzenau Nord",500521N,090304E,1
8000529,DE,"Alzenau Nord",500522N,090306E,8769596,FR,"Ambronay Priay RD1076",460038N,052025E,0
8774314,FR,Ambronay-Priay,460041N,052016E,8769596,FR,"Ambronay Priay RD1076",460038N,052025E,1
8774314,FR,Ambronay-Priay,460041N,052016E,8029050,DE,"Amstetten(W) Lokalbahn",483440N,095226E,0
80G0242,DE,"Amstetten(W) Lokalbahn",483440N,095226E,8029050,DE,"Amstetten(W) Lokalbahn",483440N,095226E,1
80G0242,DE,"Amstetten(W) Lokalbahn",483440N,095226E,8307113,IT,Ancona,433627N,132952E,0
8313831,IT,Ancona,433627N,132952E,8307113,IT,Ancona,433627N,132952E,1
8313831,IT,Ancona,433627N,132952E,8079910,DE,"Andernach (Schiff)",502631N,072410E,0
80G2522,DE,"Andernach (Schiff)",502631N,072410E,8079910,DE,"Andernach (Schiff)",502631N,072410E,1
80G2522,DE,"Andernach (Schiff)",502631N,072410E,1322002,IT,Anzola,455923N,082044E,0
8322002,IT,Anzola,455923N,082044E,1322002,IT,Anzola,455923N,082044E,1
8322002,IT,Anzola,455923N,082044E,1101069,DE,"Anzola chiesa",455923N,082042E,0
83G0341,IT,"Anzola, Chiesa",455923N,082042E,1101069,DE,"Anzola chiesa",455923N,082042E,1
83G0341,IT,"Anzola, Chiesa",455923N,082042E,8308328,IT,Appiano,415442N,122619E,0
83G0620,IT,Appiano,415442N,122619E,8308328,IT,Appiano,415442N,122619E,1
83G0620,IT,Appiano,415442N,122619E,8309838,IT,Arbostella,403906N,144846E,0
83G0624,IT,Arbostella,403906N,144846E,8309838,IT,Arbostella,403906N,144846E,1
83G0624,IT,Arbostella,403906N,144846E,8309839,IT,Arechi,403854N,144927E,0
83G0625,IT,Arechi,403854N,144927E,8309839,IT,Arechi,403854N,144927E,1
83G0625,IT,Arechi,403854N,144927E,8015447,DE,Arloff,503551N,064711E,0
80G2318,DE,Arloff,503551N,064711E,8015447,DE,Arloff,503551N,064711E,1
80G2318,DE,Arloff,503551N,064711E,8325034,IT,Arosio,454302N,091238E,0
83G0316,IT,Arosio,454303N,091238E,8325034,IT,Arosio,454302N,091238E,1
83G0316,IT,Arosio,454303N,091238E,8079927,DE,"Assmannshausen (Schiff)",495913N,075155E,0
80G2536,DE,"Assmannshausen (Schiff)",495913N,075155E,8079927,DE,"Assmannshausen (Schiff)",495913N,075155E,1
80G2536,DE,"Assmannshausen (Schiff)",495913N,075155E,1100010,DE,Atzenbach,474252N,075220E,0
8000641,DE,Atzenbach,474252N,075220E,1100010,DE,Atzenbach,474252N,075220E,1
8000641,DE,Atzenbach,474252N,075220E,8059002,DE,"Auerbach(Vogtland) Haltestelle",503025N,122245E,0
80G2477,DE,"Auerbach(Vogtland) Haltestelle",503025N,122245E,8059002,DE,"Auerbach(Vogtland) Haltestelle",503025N,122245E,1
80G2477,DE,"Auerbach(Vogtland) Haltestelle",503025N,122245E,8059001,DE,"Auerbach(Vogtland) ob Bf",503108N,122255E,0
80G2476,DE,"Auerbach(Vogtland) ob Bf",503108N,122255E,8059001,DE,"Auerbach(Vogtland) ob Bf",503108N,122255E,1
80G2476,DE,"Auerbach(Vogtland) ob Bf",503108N,122255E,8059013,DE,"Auerbach(Vogtland) unt Bf",503042N,122329E,0
80G2478,DE,"Auerbach(Vogtland) unt Bf",503042N,122329E,8059013,DE,"Auerbach(Vogtland) unt Bf",503042N,122329E,1
80G2478,DE,"Auerbach(Vogtland) unt Bf",503042N,122329E,1100487,DE,"Auggen Hochhaus",474725N,073541E,0
11G0413,DE,"Auggen Hochhaus",474725N,073541E,1100487,DE,"Auggen Hochhaus",474725N,073541E,1
11G0413,DE,"Auggen Hochhaus",474725N,073541E,1100453,DE,"Auggen Kronenplatz",474715N,073534E,0
11G0385,DE,"Auggen Kronenplatz",474715N,073534E,1100453,DE,"Auggen Kronenplatz",474715N,073534E,1
11G0385,DE,"Auggen Kronenplatz",474715N,073534E,1100468,DE,"Auggen Lettenbuck",474751N,073604E,0
11G0396,DE,"Auggen Lettenbuck",474751N,073604E,1100468,DE,"Auggen Lettenbuck",474751N,073604E,1
11G0396,DE,"Auggen Lettenbuck",474751N,073604E,1100480,DE,"Auggen Rathaus",474713N,073542E,0
11G0407,DE,"Auggen Rathaus",474713N,073542E,1100480,DE,"Auggen Rathaus",474713N,073542E,1
11G0407,DE,"Auggen Rathaus",474713N,073542E,1100725,DE,"Auggen Siedlung Richtberg",474839N,073456E,0
11G0615,DE,"Auggen Siedlung Richtberg",474839N,073456E,1100725,DE,"Auggen Siedlung Richtberg",474839N,073456E,1
11G0615,DE,"Auggen Siedlung Richtberg",474839N,073456E,1100469,DE,"Auggen WG",474742N,073549E,0
11G0397,DE,"Auggen WG",474742N,073549E,1100469,DE,"Auggen WG",474742N,073549E,1
11G0397,DE,"Auggen WG",474742N,073549E,1149001,DE,"Aulendorf Bahnhof",475710N,093838E,0
11G0727,DE,"Aulendorf Bahnhof",475710N,093838E,1149001,DE,"Aulendorf Bahnhof",475710N,093838E,1
11G0727,DE,"Aulendorf Bahnhof",475710N,093838E,8770010,FR,Bagiry,425839N,003757E,0
8717035,FR,BAGIRY,425839N,003757E,8770010,FR,Bagiry,425839N,003757E,1
8717035,FR,BAGIRY,425839N,003757E,8301230,IT,"Bagnolo Mella",452529N,101056E,0
8301901,IT,"BAGNOLO MELLA",452542N,101100E,8301230,IT,"Bagnolo Mella",452529N,101056E,1
8301901,IT,"BAGNOLO MELLA",452542N,101100E,8778942,FR,"Bannay Hautes de Bussy",472413N,025332E,0
8764389,FR,"BANNAY HAUTES BUSSY",472413N,025332E,8778942,FR,"Bannay Hautes de Bussy",472413N,025332E,1
8764389,FR,"BANNAY HAUTES BUSSY",472413N,025332E,8716944,FR,Barthe-de-Neste-Centre,430504N,002300E,0
8766857,FR,"BARTHE DE NESTE CENT",430504N,002300E,8716944,FR,Barthe-de-Neste-Centre,430504N,002300E,1
8766857,FR,"BARTHE DE NESTE CENT",430504N,002300E,8747652,FR,Baud,475210S,030442E,0
8743013,FR,BAUD,475210N,030442W,8747652,FR,Baud,475210S,030442E,1
8743013,FR,BAUD,475210N,030442W,8741742,FR,"Bazancourt (F)",492139N,041026E,0
8717146,FR,BAZANCOURT,492139N,041026E,8741742,FR,"Bazancourt (F)",492139N,041026E,1
8717146,FR,BAZANCOURT,492139N,041026E,8707650,FR,"Bergheim (Porte Haute)",481221N,072130E,0
8764346,FR,"BERGHEIM PORTE HAUTE",481221N,072130E,8707650,FR,"Bergheim (Porte Haute)",481221N,072130E,1
8764346,FR,"BERGHEIM PORTE HAUTE",481221N,072130E,8770013,FR,"Bertren Abri",425958N,003724E,0
8717055,FR,"BERTREN ABRI",425958N,003724E,8770013,FR,"Bertren Abri",425958N,003724E,1
8717055,FR,"BERTREN ABRI",425958N,003724E,8770014,FR,"Bertren Nord",430022N,003712E,0
8717057,FR,"BERTREN NORD",430022N,003712E,8770014,FR,"Bertren Nord",430022N,003712E,1
8717057,FR,"BERTREN NORD",430022N,003712E,8770015,FR,"Bertren Sud",425934N,003736E,0
8717069,FR,"BERTREN SUD",425934N,003736E,8770015,FR,"Bertren Sud",425934N,003736E,1
8717069,FR,"BERTREN SUD",425934N,003736E,8770016,FR,"Bezons Grand Cerf Noctilien",485525N,021227E,0
8743282,FR,"BEZONS GRAND CERF NOCTILIEN",485525N,021227E,8770016,FR,"Bezons Grand Cerf Noctilien",485525N,021227E,1
8743282,FR,"BEZONS GRAND CERF NOCTILIEN",485525N,021227E,8706922,FR,"Bitche Quartier Driant",490257N,072747E,0
8764280,FR,"BITCHE QUARTIER DRIA",490257N,072747E,8706922,FR,"Bitche Quartier Driant",490257N,072747E,1
8764280,FR,"BITCHE QUARTIER DRIA",490257N,072747E,8770017,FR,Blazac,443017N,010656E,0
8716958,FR,BLAZAC,443017N,010656E,8770017,FR,Blazac,443017N,010656E,1
8716958,FR,BLAZAC,443017N,010656E,8707033,FR,"Bonnevaux Gare Routière",464830N,061104E,0
8760051,FR,"BONNEVAUX GARE ROUTIERE",464900N,061059E,8707033,FR,"Bonnevaux Gare Routière",464830N,061104E,1
8760051,FR,"BONNEVAUX GARE ROUTIERE",464900N,061059E,8770018,FR,"Bordes PN 147",431156N,001320E,0
8717611,FR,"BORDES PN",431156N,001320E,8770018,FR,"Bordes PN 147",431156N,001320E,1
8717611,FR,"BORDES PN",431156N,001320E,8770020,FR,"Bourges Aéroport",470345N,022206E,0
8746569,FR,"BOURGES AEROPORT",470210N,021900E,8770020,FR,"Bourges Aéroport",470345N,022206E,1
8746569,FR,"BOURGES AEROPORT",470210N,021900E,8770022,FR,"Bras-de-Fer Noctilien",483725N,022701E,0
8757496,FR,"BRAS DE FER NOCTILIEN",483725N,022701E,8770022,FR,"Bras-de-Fer Noctilien",483725N,022701E,1
8757496,FR,"BRAS DE FER NOCTILIEN",483725N,022701E,8706925,FR,"Breitenbach (Breit's Bar)",480116N,070531E,0
8766556,FR,"BREITENBACH BREIT S",480116N,070531E,8706925,FR,"Breitenbach (Breit's Bar)",480116N,070531E,1
8766556,FR,"BREITENBACH BREIT S",480116N,070531E,8707068,FR,"Bridore St. Martin",470309N,010357E,0
8764404,FR,"BRIDORE ST MARTIN",470309N,010357E,8707068,FR,"Bridore St. Martin",470309N,010357E,1
8764404,FR,"BRIDORE ST MARTIN",470309N,010357E,8700137,FR,"Brion Mairie",465431N,041238E,0
8767704,FR,"BRION MAIRIE",465431N,041238E,8700137,FR,"Brion Mairie",465431N,041238E,1
8767704,FR,"BRION MAIRIE",465431N,041238E,8573741,CH,"Büsingen Wiesli",474127N,084054E,0
8079011,DE,BUESINGEN,474143N,084135E,8573741,CH,"Büsingen Wiesli",474127N,084054E,1
8079011,DE,BUESINGEN,474143N,084135E,8325631,IT,"Busto Arsizio Nord",453619N,085107E,0
8301137,IT,"BUSTO ARSIZIO NORD",453617N,085104E,8325631,IT,"Busto Arsizio Nord",453619N,085107E,1
8301137,IT,"BUSTO ARSIZIO NORD",453617N,085104E,1322003,IT,Baceno,461541N,081909E,0
8322003,IT,Baceno,461541N,081909E,1322003,IT,Baceno,461541N,081909E,1
8322003,IT,Baceno,461541N,081909E,8079924,DE,"Bacharach (Schiff)",500324N,074617E,0
80G2534,DE,"Bacharach (Schiff)",500324N,074617E,8079924,DE,"Bacharach (Schiff)",500324N,074617E,1
80G2534,DE,"Bacharach (Schiff)",500324N,074617E,1100675,DE,"Bad Bellingen Hertinger Str.",474349N,073328E,0
11G0576,DE,"Bad Bellingen Hertinger Str.",474349N,073328E,1100675,DE,"Bad Bellingen Hertinger Str.",474349N,073328E,1
11G0576,DE,"Bad Bellingen Hertinger Str.",474349N,073328E,1100674,DE,"Bad Bellingen Markushof",474354N,073315E,0
11G0575,DE,"Bad Bellingen Markushof",474354N,073315E,1100674,DE,"Bad Bellingen Markushof",474354N,073315E,1
11G0575,DE,"Bad Bellingen Markushof",474354N,073315E,1100676,DE,"Bad Bellingen Römerstr.",474343N,073412E,0
11G0577,DE,"Bad Bellingen Römerstr.",474343N,073412E,1100676,DE,"Bad Bellingen Römerstr.",474343N,073412E,1
11G0577,DE,"Bad Bellingen Römerstr.",474343N,073412E,1100673,DE,"Bad Bellingen Thermalbad",474345N,073305E,0
11G0574,DE,"Bad Bellingen Thermalbad",474345N,073305E,1100673,DE,"Bad Bellingen Thermalbad",474345N,073305E,1
11G0574,DE,"Bad Bellingen Thermalbad",474345N,073305E,8079909,DE,"Bad Breisig (Schiff)",503044N,071759E,0
80G2521,DE,"Bad Breisig (Schiff)",503044N,071759E,8079909,DE,"Bad Breisig (Schiff)",503044N,071759E,1
80G2521,DE,"Bad Breisig (Schiff)",503044N,071759E,8059201,DE,"Bad Dürkheim Bahnhof",492738N,081014E,0
80G2479,DE,"Bad Dürkheim Bahnhof",492738N,081014E,8059201,DE,"Bad Dürkheim Bahnhof",492738N,081014E,1
80G2479,DE,"Bad Dürkheim Bahnhof",492738N,081014E,8059202,DE,"Bad Dürkheim Ost",492747N,081105E,0
0505362,DE,"Bad Dürkheim Ost",492747N,081105E,8059202,DE,"Bad Dürkheim Ost",492747N,081105E,1
0505362,DE,"Bad Dürkheim Ost",492747N,081105E,8028246,DE,"Bad Freienwalde (Oder)",524723N,140208E,0
80G2378,DE,"Bad Freienwalde (Oder)",524723N,140208E,8028246,DE,"Bad Freienwalde (Oder)",524723N,140208E,1
80G2378,DE,"Bad Freienwalde (Oder)",524723N,140208E,8029637,DE,"Bad Friedrichshall-Jagstfeld",491353N,091159E,0
80G2389,DE,"Bad Friedrichshall-Jagstfeld",491353N,091159E,8029637,DE,"Bad Friedrichshall-Jagstfeld",491353N,091159E,1
