uic_1,country_1,name_1,lon_1,lat_1,uic_2,country_2,name_2,lon_2,lat_2,match
1000495,FI,Lappeenranta,610252N,281145E,1000499,FI,JOUTSENO,610712N,282918E,0
1000499,FI,Joutseno,610716N,282934E,1000499,FI,JOUTSENO,610712N,282918E,1
1000499,FI,Joutseno,610716N,282934E,1000507,FI,SIMPELE,612530N,292218E,0
1000507,FI,Simpele,612531N,292216E,1000507,FI,SIMPELE,612530N,292218E,1
1000507,FI,Simpele,612531N,292216E,1037310,FI,PARIKKALA,613330N,293009E,0
1000510,FI,Parikkala,613331N,293011E,1037310,FI,PARIKKALA,613330N,293009E,1
1000510,FI,Parikkala,613331N,293011E,1032701,FI,KOTKA,602753N,265538E,0
1000532,FI,Kotka,602753N,265538E,1032701,FI,KOTKA,602753N,265538E,1
1000532,FI,Kotka,602753N,265538E,1000544,FI,MANTYHARJU,612517N,265254E,0
1000544,FI,Mäntyharju,612517N,265253E,1000544,FI,MANTYHARJU,612517N,265254E,1
1000544,FI,Mäntyharju,612517N,265253E,1032501,FI,MIKKELI,614120N,271640E,0
1000546,FI,Mikkeli,614115N,271641E,1032501,FI,MIKKELI,614120N,271640E,1
1000546,FI,Mikkeli,614115N,271641E,1000549,FI,HAUKIVUORI,620132N,271209E,0
1000549,FI,HAUKIVUORI,620132N,271209E,1000549,FI,HAUKIVUORI,620132N,271209E,1
1000549,FI,HAUKIVUORI,620132N,271209E,1032401,FI,IMATRA,611145N,284635E,0
1000603,FI,Imatra,611145N,284633E,1032401,FI,IMATRA,611145N,284635E,1
1000603,FI,Imatra,611145N,284633E,1000789,FI,YLITORNIO,661928N,234057E,0
1000789,FI,YLITORNIO,661742N,234234E,1000789,FI,YLITORNIO,661928N,234057E,1
1000789,FI,YLITORNIO,661742N,234234E,1031118,FI,TIKKURILA,601742N,250240E,0
1000968,FI,Tikkurila,601734N,250241E,1031118,FI,TIKKURILA,601742N,250240E,1
1000968,FI,Tikkurila,601734N,250241E,1035501,FI,TORNIO,655044N,240948E,0
1001318,FI,"Tornio Itäinen",655103N,241054E,1035501,FI,TORNIO,655044N,240948E,1
1001318,FI,"Tornio Itäinen",655103N,241054E,1033401,FI,RAUMA,610753N,212917E,0
1033401,FI,"Rauma Las",610834N,213203E,1033401,FI,RAUMA,610753N,212917E,1
1033401,FI,"Rauma Las",610834N,213203E,1037301,FI,SAVONLINNA,615221N,285228E,0
1037301,FI,Savonlinna,615221N,285228E,1037301,FI,SAVONLINNA,615221N,285228E,1
1037301,FI,Savonlinna,615221N,285228E,101A001,FI,TURKU,602712N,221513E,0
